Date,Voltage,index
2015-11-13 12:01:17,4.33830499649048,1006
2015-11-13 12:01:27,4.38624906539917,1007
2015-11-13 12:01:37,4.40002012252808,1008
2015-11-13 12:01:47,4.39999914169312,1009
2015-11-13 12:01:57,4.39998292922974,1010
2015-11-13 12:02:07,4.39999914169312,1011
2015-11-13 12:02:17,4.399986743927,1012
2015-11-13 12:02:27,4.40001058578491,1013
2015-11-13 12:02:37,4.40000295639038,1014
2015-11-13 12:02:47,4.40002107620239,1015
2015-11-13 12:02:57,4.399986743927,1016
2015-11-13 12:03:07,4.39999723434448,1017
2015-11-13 12:03:13,4.399986743927,1018
2015-11-13 12:03:24,4.39998388290405,1019
2015-11-13 12:03:34,4.40003061294556,1020
2015-11-13 12:03:44,4.39998388290405,1021
2015-11-13 12:03:54,4.40002202987671,1022
2015-11-13 12:04:04,4.40003728866577,1023
2015-11-13 12:04:14,4.39999914169312,1024
2015-11-13 12:04:24,4.40002489089966,1025
2015-11-13 12:04:34,4.40000772476196,1026
2015-11-13 12:04:44,4.26941347122192,1027
2015-11-13 12:04:54,4.25606679916382,1028
2015-11-13 12:05:04,4.25265455245972,1029
2015-11-13 12:05:14,3.36737012863159,1030
2015-11-13 12:05:24,3.3134913444519,1031
2015-11-13 12:05:34,3.24297952651978,1032
2015-11-13 12:05:44,3.17431306838989,1033
2015-11-13 12:05:54,3.09787607192993,1034
2015-11-13 12:06:04,3.00017690658569,1035
2015-11-13 12:06:14,2.99999094009399,1036
2015-11-13 12:06:24,3.81722688674927,1037
2015-11-13 12:06:34,3.83792924880981,1038
2015-11-13 12:06:44,3.84252977371216,1039
2015-11-13 12:06:54,4.20004320144653,1040
2015-11-13 12:07:04,4.28179407119751,1041
2015-11-13 12:07:14,4.3071436882019,1042
2015-11-13 12:07:24,4.34226655960083,1043
2015-11-13 12:07:34,4.3908371925354,1044
2015-11-13 12:07:44,4.40000867843628,1045
2015-11-13 12:07:54,4.39996862411499,1046
2015-11-13 12:08:04,4.39998769760132,1047
2015-11-13 12:08:14,4.4000391960144,1048
2015-11-13 12:08:24,4.39997434616089,1049
2015-11-13 12:08:34,4.39994668960571,1050
2015-11-13 12:08:44,4.40002107620239,1051
2015-11-13 12:08:54,4.40007638931274,1052
2015-11-13 12:09:04,4.40001344680786,1053
2015-11-13 12:09:14,4.40011167526245,1054
2015-11-13 12:09:24,4.39998197555542,1055
2015-11-13 12:09:34,4.40007638931274,1056
2015-11-13 12:09:44,4.39998483657837,1057
2015-11-13 12:09:54,4.4000563621521,1058
2015-11-13 12:10:04,4.40005731582642,1059
2015-11-13 12:10:14,4.39995241165161,1060
2015-11-13 12:10:24,4.3999810218811,1061
2015-11-13 12:10:34,4.39996099472046,1062
2015-11-13 12:10:44,4.40004014968872,1063
2015-11-13 12:10:54,4.27087926864624,1064
2015-11-13 12:11:04,4.25768899917603,1065
2015-11-13 12:11:14,4.2543215751648,1066
2015-11-13 12:11:24,3.36858892440796,1067
2015-11-13 12:11:34,3.31174898147583,1068
2015-11-13 12:11:44,3.24083185195923,1069
2015-11-13 12:11:54,3.17132043838501,1070
2015-11-13 12:12:04,3.09925699234009,1071
2015-11-13 12:12:14,3.00565481185913,1072
2015-11-13 12:12:24,3.00000810623169,1073
2015-11-13 12:12:34,3.81632947921753,1074
2015-11-13 12:12:44,3.83711099624634,1075
2015-11-13 12:12:54,3.84146547317505,1076
2015-11-13 12:13:04,4.20004510879517,1077
2015-11-13 12:13:14,4.2793869972229,1078
2015-11-13 12:13:24,4.30598402023315,1079
2015-11-13 12:13:34,4.34047365188599,1080
2015-11-13 12:13:44,4.3880410194397,1081
2015-11-13 12:13:54,4.40002870559692,1082
2015-11-13 12:14:04,4.39999151229858,1083
2015-11-13 12:14:14,4.39999628067017,1084
2015-11-13 12:14:24,4.40001726150513,1085
2015-11-13 12:14:34,4.40004968643189,1086
2015-11-13 12:14:44,4.40002679824829,1087
2015-11-13 12:14:54,4.39993810653687,1088
2015-11-13 12:15:04,4.40000677108765,1089
2015-11-13 12:15:14,4.39997720718384,1090
2015-11-13 12:15:24,4.40002965927124,1091
2015-11-13 12:15:34,4.40000200271606,1092
2015-11-13 12:15:44,4.40004396438599,1093
2015-11-13 12:15:54,4.39998483657837,1094
2015-11-13 12:16:04,4.39998292922974,1095
2015-11-13 12:16:14,4.39999341964722,1096
2015-11-13 12:16:24,4.39997911453247,1097
2015-11-13 12:16:34,4.40002298355103,1098
2015-11-13 12:16:44,4.39999723434448,1099
2015-11-13 12:16:54,4.39997529983521,1100
2015-11-13 12:17:04,4.27226972579956,1101
2015-11-13 12:17:14,4.25932836532593,1102
2015-11-13 12:17:24,4.25602006912231,1103
2015-11-13 12:17:34,3.36923456192017,1104
2015-11-13 12:17:44,3.31218099594116,1105
2015-11-13 12:17:54,3.24280595779419,1106
2015-11-13 12:18:04,3.17440271377563,1107
2015-11-13 12:18:14,3.09929418563843,1108
2015-11-13 12:18:24,3.00238275527954,1109
2015-11-13 12:18:34,2.99999380111694,1110
2015-11-13 12:18:44,3.81863069534302,1111
2015-11-13 12:18:54,3.83930635452271,1112
2015-11-13 12:19:04,3.84381151199341,1113
2015-11-13 12:19:14,4.19998502731323,1114
2015-11-13 12:19:24,4.28555154800415,1115
2015-11-13 12:19:34,4.31122064590454,1116
2015-11-13 12:19:44,4.34492254257202,1117
2015-11-13 12:19:54,4.39207029342651,1118
2015-11-13 12:20:04,4.40003252029419,1119
2015-11-13 12:20:14,4.39997148513794,1120
2015-11-13 12:20:24,4.40004587173462,1121
