Date,Discharge_Capacity,group,static,index
2015-11-13 11:17:04,0.43464994430542,45007,1,741
2015-11-13 11:17:14,0.651994466781616,45007,1,742
2015-11-13 11:17:24,0.869296133518219,45007,1,743
2015-11-13 11:17:34,1.08665406703949,45007,1,744
2015-11-13 11:17:44,1.29414749145508,45007,1,745
2015-11-13 11:17:54,1.2942807674408,45007,1,746
2015-11-13 11:18:04,1.2942807674408,45007,1,747
2015-11-13 11:18:14,1.2942807674408,45007,1,748
2015-11-13 11:18:24,3.49367890173369E-09,45007,1,749
2015-11-13 11:18:34,3.49367890173369E-09,45007,1,750
2015-11-13 11:18:44,3.49367890173369E-09,45007,1,751
2015-11-13 11:18:54,3.49367890173369E-09,45007,1,752
2015-11-13 11:19:04,3.49367890173369E-09,45007,1,753
2015-11-13 11:19:14,3.49367890173369E-09,45007,1,754
2015-11-13 11:19:24,3.49367890173369E-09,45007,1,755
2015-11-13 11:19:34,3.49367890173369E-09,45007,1,756
2015-11-13 11:19:44,3.49367890173369E-09,45007,1,757
2015-11-13 11:19:54,3.49367890173369E-09,45007,1,758
2015-11-13 11:20:04,3.49367890173369E-09,45007,1,759
2015-11-13 11:20:14,3.49367890173369E-09,45007,1,760
2015-11-13 11:20:24,3.49367890173369E-09,45007,1,761
2015-11-13 11:20:34,3.49367890173369E-09,45007,1,762
2015-11-13 11:20:44,3.49367890173369E-09,45007,1,763
2015-11-13 11:20:54,3.49367890173369E-09,45007,1,764
2015-11-13 11:21:04,3.49367890173369E-09,45007,1,765
2015-11-13 11:21:14,3.49367890173369E-09,45007,1,766
2015-11-13 11:21:24,3.49367890173369E-09,45007,1,767
2015-11-13 11:21:34,3.49367890173369E-09,45007,1,768
2015-11-13 11:21:44,3.49367890173369E-09,45007,1,769
2015-11-13 11:21:54,3.49367890173369E-09,45007,1,770
2015-11-13 11:22:04,3.49367890173369E-09,45007,1,771
2015-11-13 11:22:14,3.49367890173369E-09,45007,1,772
2015-11-13 11:22:24,3.49367890173369E-09,45007,1,773
2015-11-13 11:22:34,3.49367890173369E-09,45007,1,774
2015-11-13 11:22:44,3.49367890173369E-09,45007,1,775
2015-11-13 11:22:54,0.217313706874847,45007,1,776
2015-11-13 11:23:04,0.434626460075378,45007,1,777
2015-11-13 11:23:14,0.651978552341461,45007,1,778
2015-11-13 11:23:24,0.869283497333527,45007,1,779
2015-11-13 11:23:34,1.0866425037384,45007,1,780
2015-11-13 11:23:44,1.29124045372009,45007,1,781
2015-11-13 11:23:54,1.29135060310364,45007,1,782
2015-11-13 11:24:04,1.29135060310364,45007,1,783
2015-11-13 11:24:14,1.29135060310364,45007,1,784
2015-11-13 11:24:24,1.18493992395941E-09,45007,1,785
2015-11-13 11:24:34,1.18493992395941E-09,45007,1,786
2015-11-13 11:24:44,1.18493992395941E-09,45007,1,787
2015-11-13 11:24:54,1.18493992395941E-09,45007,1,788
2015-11-13 11:25:04,1.18493992395941E-09,45007,1,789
2015-11-13 11:25:14,1.18493992395941E-09,45007,1,790
2015-11-13 11:25:24,1.18493992395941E-09,45007,1,791
2015-11-13 11:25:34,1.18493992395941E-09,45007,1,792
2015-11-13 11:25:44,1.18493992395941E-09,45007,1,793
2015-11-13 11:25:54,1.18493992395941E-09,45007,1,794
2015-11-13 11:26:04,1.18493992395941E-09,45007,1,795
2015-11-13 11:26:14,1.18493992395941E-09,45007,1,796
2015-11-13 11:26:24,1.18493992395941E-09,45007,1,797
2015-11-13 11:26:34,1.18493992395941E-09,45007,1,798
2015-11-13 11:26:44,1.18493992395941E-09,45007,1,799
2015-11-13 11:26:54,1.18493992395941E-09,45007,1,800
2015-11-13 11:27:04,1.18493992395941E-09,45007,1,801
2015-11-13 11:27:14,1.18493992395941E-09,45007,1,802
2015-11-13 11:27:24,1.18493992395941E-09,45007,1,803
2015-11-13 11:27:34,1.18493992395941E-09,45007,1,804
2015-11-13 11:27:44,1.18493992395941E-09,45007,1,805
2015-11-13 11:27:54,1.18493992395941E-09,45007,1,806
2015-11-13 11:28:04,1.18493992395941E-09,45007,1,807
2015-11-13 11:28:14,1.18493992395941E-09,45007,1,808
2015-11-13 11:28:24,1.18493992395941E-09,45007,1,809
2015-11-13 11:28:35,1.18493992395941E-09,45007,1,810
2015-11-13 11:28:45,1.18493992395941E-09,45007,1,811
2015-11-13 11:28:55,0.217311725020409,45007,1,812
2015-11-13 11:29:05,0.434645622968674,45007,1,813
2015-11-13 11:29:15,0.651990592479706,45007,1,814
2015-11-13 11:29:25,0.869314551353455,45007,1,815
2015-11-13 11:29:35,1.08666753768921,45007,1,816
2015-11-13 11:29:45,1.28680372238159,45007,1,817
2015-11-13 11:29:55,1.286900639534,45007,1,818
2015-11-13 11:30:05,1.286900639534,45007,1,819
2015-11-13 11:30:15,1.286900639534,45007,1,820
2015-11-13 11:30:25,3.09944049592392E-11,45007,1,821
2015-11-13 11:30:35,3.09944049592392E-11,45007,1,822
2015-11-13 11:30:45,3.09944049592392E-11,45007,1,823
2015-11-13 11:30:55,3.09944049592392E-11,45007,1,824
2015-11-13 11:31:05,3.09944049592392E-11,45007,1,825
2015-11-13 11:31:15,3.09944049592392E-11,45007,1,826
2015-11-13 11:31:25,3.09944049592392E-11,45007,1,827
2015-11-13 11:31:35,3.09944049592392E-11,45007,1,828
2015-11-13 11:31:45,3.09944049592392E-11,45007,1,829
2015-11-13 11:31:55,3.09944049592392E-11,45007,1,830
2015-11-13 11:32:05,3.09944049592392E-11,45007,1,831
2015-11-13 11:32:15,3.09944049592392E-11,45007,1,832
2015-11-13 11:32:25,3.09944049592392E-11,45007,1,833
2015-11-13 11:32:35,3.09944049592392E-11,45007,1,834
2015-11-13 11:32:45,3.09944049592392E-11,45007,1,835
2015-11-13 11:32:55,3.09944049592392E-11,45007,1,836
2015-11-13 11:33:05,3.09944049592392E-11,45007,1,837
2015-11-13 11:33:15,3.09944049592392E-11,45007,1,838
2015-11-13 11:33:25,3.09944049592392E-11,45007,1,839
2015-11-13 11:33:35,3.09944049592392E-11,45007,1,840
2015-11-13 11:33:45,3.09944049592392E-11,45007,1,841
2015-11-13 11:33:55,3.09944049592392E-11,45007,1,842
2015-11-13 11:34:05,3.09944049592392E-11,45007,1,843
2015-11-13 11:34:15,3.09944049592392E-11,45007,1,844
2015-11-13 11:34:25,3.09944049592392E-11,45007,1,845
2015-11-13 11:34:35,3.09944049592392E-11,45007,1,846
2015-11-13 11:34:45,3.09944049592392E-11,45007,1,847
2015-11-13 11:34:55,0.217319145798683,45007,1,848
2015-11-13 11:35:05,0.434648603200913,45007,1,849
2015-11-13 11:35:15,0.651972591876984,45007,1,850
2015-11-13 11:35:25,0.869323194026947,45007,1,851
2015-11-13 11:35:35,1.08666002750397,45007,1,852
2015-11-13 11:35:45,1.29000687599182,45007,1,853
2015-11-13 11:35:55,1.2901645898819,45007,1,854
2015-11-13 11:36:05,1.2901645898819,45007,1,855
2015-11-13 11:36:15,1.2901645898819,45007,1,856
2015-11-13 11:36:25,0,45007,1,857
2015-11-13 11:36:35,4.81843787092373E-10,45007,1,858
2015-11-13 11:36:45,4.81843787092373E-10,45007,1,859
2015-11-13 11:36:55,4.81843787092373E-10,45007,1,860
2015-11-13 11:37:05,4.81843787092373E-10,45007,1,861
2015-11-13 11:37:15,4.81843787092373E-10,45007,1,862
2015-11-13 11:37:25,4.81843787092373E-10,45007,1,863
2015-11-13 11:37:35,4.81843787092373E-10,45007,1,864
2015-11-13 11:37:45,4.81843787092373E-10,45007,1,865
2015-11-13 11:37:55,4.81843787092373E-10,45007,1,866
2015-11-13 11:38:05,4.81843787092373E-10,45007,1,867
2015-11-13 11:38:15,4.81843787092373E-10,45007,1,868
2015-11-13 11:38:25,4.81843787092373E-10,45007,1,869
2015-11-13 11:38:35,4.81843787092373E-10,45007,1,870
2015-11-13 11:38:45,4.81843787092373E-10,45007,1,871
2015-11-13 11:38:55,4.81843787092373E-10,45007,1,872
2015-11-13 11:39:05,4.81843787092373E-10,45007,1,873
2015-11-13 11:39:15,4.81843787092373E-10,45007,1,874
2015-11-13 11:39:25,4.81843787092373E-10,45007,1,875
2015-11-13 11:39:35,4.81843787092373E-10,45007,1,876
2015-11-13 11:39:45,4.81843787092373E-10,45007,1,877
2015-11-13 11:39:55,4.81843787092373E-10,45007,1,878
2015-11-13 11:40:05,4.81843787092373E-10,45007,1,879
2015-11-13 11:40:15,4.81843787092373E-10,45007,1,880
2015-11-13 11:40:25,4.81843787092373E-10,45007,1,881
2015-11-13 11:40:35,4.81843787092373E-10,45007,1,882
2015-11-13 11:40:45,4.81843787092373E-10,45007,1,883
2015-11-13 11:40:55,0.217331379652023,45007,1,884
2015-11-13 11:41:05,0.43464782834053,45007,1,885
2015-11-13 11:41:15,0.651997864246368,45007,1,886
2015-11-13 11:41:25,0.869296967983246,45007,1,887
2015-11-13 11:41:35,1.08664989471436,45007,1,888
2015-11-13 11:41:45,1.29589867591858,45007,1,889
2015-11-13 11:41:56,1.29601037502289,45007,1,890
2015-11-13 11:42:06,1.29601037502289,45007,1,891
2015-11-13 11:42:16,1.29601037502289,45007,1,892
2015-11-13 11:42:26,0,45007,1,893
2015-11-13 11:42:36,0,45007,1,894
2015-11-13 11:42:46,0,45007,1,895
2015-11-13 11:42:56,0,45007,1,896
2015-11-13 11:43:06,0,45007,1,897
2015-11-13 11:43:16,0,45007,1,898
2015-11-13 11:43:26,0,45007,1,899
2015-11-13 11:43:36,0,45007,1,900
2015-11-13 11:43:46,0,45007,1,901
2015-11-13 11:43:56,0,45007,1,902
2015-11-13 11:44:06,0,45007,1,903
2015-11-13 11:44:16,0,45007,1,904
2015-11-13 11:44:26,0,45007,1,905
2015-11-13 11:44:36,0,45007,1,906
2015-11-13 11:44:46,0,45007,1,907
2015-11-13 11:44:56,0,45007,1,908
2015-11-13 11:45:06,0,45007,1,909
2015-11-13 11:45:16,0,45007,1,910
2015-11-13 11:45:26,0,45007,1,911
2015-11-13 11:45:36,0,45007,1,912
2015-11-13 11:45:46,0,45007,1,913
2015-11-13 11:45:56,0,45007,1,914
2015-11-13 11:46:06,0,45007,1,915
2015-11-13 11:46:16,0,45007,1,916
2015-11-13 11:46:26,0,45007,1,917
2015-11-13 11:46:36,0,45007,1,918
2015-11-13 11:46:46,0,45007,1,919
2015-11-13 11:46:56,0.217325583100319,45007,1,920
2015-11-13 11:47:06,0.434646338224411,45007,1,921
2015-11-13 11:47:16,0.651993870735168,45007,1,922
2015-11-13 11:47:26,0.869336426258087,45007,1,923
2015-11-13 11:47:36,1.08664429187775,45007,1,924
2015-11-13 11:47:46,1.30399811267853,45007,1,925
2015-11-13 11:47:56,1.30452394485474,45007,1,926
